SalesLineID,TransactionID,DateKey,TimeKey,StoreKey,ProductKey,PaymentKey,ChannelKey,Quantity,UnitPriceTND,UnitCostTND,LineRevenueTND,LineCostTND,LineProfitTND
1,100001,20260523,1956,4,7,1,2,1,4.3,1.8,4.3,1.8,2.5
2,100002,20260903,701,6,1,2,2,1,3.5,1.4,3.5,1.4,2.1
3,100003,20260706,1147,6,10,3,1,1,8.0,3.0,8.0,3.0,5.0
4,100003,20260706,1147,6,10,3,1,1,8.0,3.0,8.0,3.0,5.0
5,100004,20260604,849,3,17,3,1,1,4.5,1.6,4.5,1.6,2.9
6,100005,20260418,2044,5,24,3,4,1,8.0,3.0,8.0,3.0,5.0
7,100005,20260418,2044,5,24,3,4,1,8.0,3.0,8.0,3.0,5.0
8,100006,20260701,2033,4,2,1,1,1,4.0,1.6,4.0,1.6,2.4
9,100007,20260724,1821,4,19,2,4,1,5.5,2.0,5.5,2.0,3.5
10,100007,20260724,1821,4,15,2,4,1,11.0,4.0,11.0,4.0,7.0
11,100007,20260724,1821,4,11,2,4,1,10.5,3.8,10.5,3.8,6.7
12,100008,20260626,1812,3,3,1,3,1,3.8,1.5,3.8,1.5,2.3
13,100009,20260529,1805,2,24,1,1,1,8.0,3.0,8.0,3.0,5.0
14,100010,20260606,938,2,4,1,3,1,4.5,1.9,4.5,1.9,2.6
15,100011,20260518,1021,1,6,1,1,2,5.0,2.1,10.0,4.2,5.8
16,100011,20260518,1021,1,22,1,1,1,9.5,3.6,9.5,3.6,5.9
17,100012,20260411,2155,2,4,1,4,1,4.5,1.9,4.5,1.9,2.6
18,100013,20260702,828,2,25,2,1,1,8.5,3.2,8.5,3.2,5.3
19,100014,20260815,1029,1,1,2,1,2,3.5,1.4,7.0,2.8,4.2
20,100014,20260815,1029,1,6,2,1,1,5.0,2.1,5.0,2.1,2.9
21,100015,20260622,1738,2,11,4,1,1,10.5,3.8,10.5,3.8,6.7
22,100015,20260622,1738,2,18,4,1,1,5.0,1.8,5.0,1.8,3.2
23,100016,20260827,1905,5,17,1,3,1,4.5,1.6,4.5,1.6,2.9
24,100017,20260715,712,1,3,2,1,1,3.8,1.5,3.8,1.5,2.3
25,100017,20260715,712,1,16,2,1,1,11.5,4.1,11.5,4.1,7.4
26,100018,20260521,1001,2,14,1,4,1,13.5,4.6,13.5,4.6,8.9
27,100018,20260521,1001,2,1,1,4,1,3.5,1.4,3.5,1.4,2.1
28,100018,20260521,1001,2,19,1,4,1,5.5,2.0,5.5,2.0,3.5
29,100019,20260824,1801,6,23,2,1,1,9.0,3.4,9.0,3.4,5.6
30,100019,20260824,1801,6,21,2,1,1,9.0,3.2,9.0,3.2,5.8
31,100020,20260817,1925,1,8,2,1,1,8.5,3.2,8.5,3.2,5.3
32,100021,20260721,1741,2,19,2,1,1,5.5,2.0,5.5,2.0,3.5
33,100021,20260721,1741,2,21,2,1,1,9.0,3.2,9.0,3.2,5.8
34,100022,20260825,801,3,3,2,1,1,3.8,1.5,3.8,1.5,2.3
35,100023,20260813,1119,1,14,2,1,1,13.5,4.6,13.5,4.6,8.9
36,100024,20260622,1711,4,21,1,4,1,9.0,3.2,9.0,3.2,5.8
37,100025,20260418,828,3,2,1,2,1,4.0,1.6,4.0,1.6,2.4
38,100025,20260418,828,3,1,1,2,1,3.5,1.4,3.5,1.4,2.1
39,100025,20260418,828,3,4,1,2,1,4.5,1.9,4.5,1.9,2.6
40,100026,20260819,1741,3,3,1,1,2,3.8,1.5,7.6,3.0,4.6
41,100027,20260502,738,6,15,1,1,1,11.0,4.0,11.0,4.0,7.0
42,100027,20260502,738,6,9,1,1,1,9.0,3.4,9.0,3.4,5.6
43,100028,20260813,1705,5,10,1,3,1,8.0,3.0,8.0,3.0,5.0
44,100029,20260718,823,2,7,1,3,2,4.3,1.8,8.6,3.6,5.0
45,100029,20260718,823,2,19,1,3,1,5.5,2.0,5.5,2.0,3.5
46,100030,20260731,1828,6,10,1,2,1,8.0,3.0,8.0,3.0,5.0
47,100030,20260731,1828,6,15,1,2,2,11.0,4.0,22.0,8.0,14.0
48,100031,20260616,1837,2,23,1,4,2,9.0,3.4,18.0,6.8,11.2
49,100032,20260717,1353,3,13,1,1,1,12.5,4.3,12.5,4.3,8.2
50,100032,20260717,1353,3,4,1,1,1,4.5,1.9,4.5,1.9,2.6
51,100033,20260728,1626,4,19,2,4,1,5.5,2.0,5.5,2.0,3.5
52,100033,20260728,1626,4,19,2,4,2,5.5,2.0,11.0,4.0,7.0
53,100034,20260523,1132,5,9,4,4,1,9.0,3.4,9.0,3.4,5.6
54,100034,20260523,1132,5,20,4,4,1,6.5,2.4,6.5,2.4,4.1
55,100035,20260501,1215,3,21,2,2,1,9.0,3.2,9.0,3.2,5.8
56,100035,20260501,1215,3,7,2,2,2,4.3,1.8,8.6,3.6,5.0
57,100036,20260625,1031,1,15,3,4,1,11.0,4.0,11.0,4.0,7.0
58,100037,20260508,2150,4,22,2,1,1,9.5,3.6,9.5,3.6,5.9
59,100037,20260508,2150,4,1,2,1,1,3.5,1.4,3.5,1.4,2.1
60,100037,20260508,2150,4,6,2,1,1,5.0,2.1,5.0,2.1,2.9
61,100038,20260529,1655,2,9,1,1,1,9.0,3.4,9.0,3.4,5.6
62,100038,20260529,1655,2,25,1,1,1,8.5,3.2,8.5,3.2,5.3
63,100038,20260529,1655,2,10,1,1,2,8.0,3.0,16.0,6.0,10.0
64,100039,20260411,1651,2,13,2,4,1,12.5,4.3,12.5,4.3,8.2
65,100039,20260411,1651,2,18,2,4,2,5.0,1.8,10.0,3.6,6.4
66,100040,20260625,1811,6,7,1,4,1,4.3,1.8,4.3,1.8,2.5
67,100041,20260706,1116,1,10,1,2,2,8.0,3.0,16.0,6.0,10.0
68,100041,20260706,1116,1,2,1,2,1,4.0,1.6,4.0,1.6,2.4
69,100042,20260806,1712,5,15,2,4,1,11.0,4.0,11.0,4.0,7.0
70,100042,20260806,1712,5,14,2,4,2,13.5,4.6,27.0,9.2,17.8
71,100042,20260806,1712,5,11,2,4,2,10.5,3.8,21.0,7.6,13.4
72,100043,20260411,1923,3,15,1,1,1,11.0,4.0,11.0,4.0,7.0
73,100043,20260411,1923,3,2,1,1,2,4.0,1.6,8.0,3.2,4.8
74,100043,20260411,1923,3,14,1,1,1,13.5,4.6,13.5,4.6,8.9
75,100044,20260415,1008,1,5,1,1,1,4.8,2.0,4.8,2.0,2.8
76,100045,20260611,1734,3,20,1,1,1,6.5,2.4,6.5,2.4,4.1
77,100046,20260522,1355,4,4,1,1,1,4.5,1.9,4.5,1.9,2.6
78,100046,20260522,1355,4,9,1,1,1,9.0,3.4,9.0,3.4,5.6
79,100047,20260319,1030,1,16,1,1,1,11.5,4.1,11.5,4.1,7.4
80,100047,20260319,1030,1,4,1,1,1,4.5,1.9,4.5,1.9,2.6
81,100047,20260319,1030,1,3,1,1,1,3.8,1.5,3.8,1.5,2.3
82,100048,20260912,1656,2,2,1,1,1,4.0,1.6,4.0,1.6,2.4
83,100049,20260721,2154,6,24,3,2,1,8.0,3.0,8.0,3.0,5.0
84,100050,20260725,1558,3,19,1,3,1,5.5,2.0,5.5,2.0,3.5
85,100050,20260725,1558,3,15,1,3,1,11.0,4.0,11.0,4.0,7.0
86,100050,20260725,1558,3,11,1,3,1,10.5,3.8,10.5,3.8,6.7
87,100051,20260624,1630,1,4,1,3,2,4.5,1.9,9.0,3.8,5.2
88,100052,20260730,1219,6,22,1,4,1,9.5,3.6,9.5,3.6,5.9
89,100053,20260410,1823,1,15,1,1,1,11.0,4.0,11.0,4.0,7.0
90,100053,20260410,1823,1,16,1,1,1,11.5,4.1,11.5,4.1,7.4
91,100054,20260615,945,6,16,1,1,1,11.5,4.1,11.5,4.1,7.4
92,100054,20260615,945,6,3,1,1,1,3.8,1.5,3.8,1.5,2.3
93,100054,20260615,945,6,23,1,1,1,9.0,3.4,9.0,3.4,5.6
94,100055,20260730,804,3,18,3,2,1,5.0,1.8,5.0,1.8,3.2
95,100056,20260612,1220,5,20,2,1,2,6.5,2.4,13.0,4.8,8.2
96,100056,20260612,1220,5,12,2,1,2,12.0,4.2,24.0,8.4,15.6
97,100057,20260409,838,2,19,2,2,1,5.5,2.0,5.5,2.0,3.5
98,100058,20260803,1136,1,24,1,1,2,8.0,3.0,16.0,6.0,10.0
99,100058,20260803,1136,1,20,1,1,1,6.5,2.4,6.5,2.4,4.1
100,100059,20260702,1207,1,5,2,1,1,4.8,2.0,4.8,2.0,2.8
101,100060,20260517,1757,3,2,1,1,1,4.0,1.6,4.0,1.6,2.4
102,100061,20260505,938,1,11,4,1,1,10.5,3.8,10.5,3.8,6.7
103,100062,20260509,1024,2,7,2,1,1,4.3,1.8,4.3,1.8,2.5
104,100063,20260724,1540,3,1,1,1,1,3.5,1.4,3.5,1.4,2.1
105,100063,20260724,1540,3,19,1,1,1,5.5,2.0,5.5,2.0,3.5
106,100064,20260320,939,2,20,1,2,1,6.5,2.4,6.5,2.4,4.1
107,100065,20260402,950,4,20,2,3,2,6.5,2.4,13.0,4.8,8.2
108,100066,20260317,831,1,6,1,1,1,5.0,2.1,5.0,2.1,2.9
109,100066,20260317,831,1,3,1,1,1,3.8,1.5,3.8,1.5,2.3
110,100067,20260521,1853,2,12,2,4,1,12.0,4.2,12.0,4.2,7.8
111,100068,20260612,1501,4,14,1,2,1,13.5,4.6,13.5,4.6,8.9
112,100069,20260504,746,6,16,2,1,1,11.5,4.1,11.5,4.1,7.4
113,100070,20260317,857,6,19,2,3,1,5.5,2.0,5.5,2.0,3.5
114,100070,20260317,857,6,19,2,3,1,5.5,2.0,5.5,2.0,3.5
115,100071,20260331,1812,1,16,1,4,1,11.5,4.1,11.5,4.1,7.4
116,100071,20260331,1812,1,24,1,4,1,8.0,3.0,8.0,3.0,5.0
117,100071,20260331,1812,1,9,1,4,1,9.0,3.4,9.0,3.4,5.6
118,100072,20260703,1046,5,11,1,1,1,10.5,3.8,10.5,3.8,6.7
119,100072,20260703,1046,5,17,1,1,1,4.5,1.6,4.5,1.6,2.9
120,100073,20260403,1026,5,8,2,4,2,8.5,3.2,17.0,6.4,10.6
121,100073,20260403,1026,5,18,2,4,1,5.0,1.8,5.0,1.8,3.2
122,100074,20260818,953,3,4,4,1,1,4.5,1.9,4.5,1.9,2.6
123,100074,20260818,953,3,5,4,1,2,4.8,2.0,9.6,4.0,5.6
124,100074,20260818,953,3,1,4,1,1,3.5,1.4,3.5,1.4,2.1
125,100075,20260712,1124,3,9,3,1,1,9.0,3.4,9.0,3.4,5.6
126,100075,20260712,1124,3,11,3,1,1,10.5,3.8,10.5,3.8,6.7
127,100076,20260825,1701,2,20,3,1,2,6.5,2.4,13.0,4.8,8.2
128,100077,20260518,1810,2,24,2,2,1,8.0,3.0,8.0,3.0,5.0
129,100077,20260518,1810,2,15,2,2,1,11.0,4.0,11.0,4.0,7.0
130,100077,20260518,1810,2,8,2,2,1,8.5,3.2,8.5,3.2,5.3
131,100078,20260505,1916,1,23,1,1,1,9.0,3.4,9.0,3.4,5.6
132,100079,20260530,1902,6,23,2,2,1,9.0,3.4,9.0,3.4,5.6
133,100080,20260814,848,1,19,1,1,1,5.5,2.0,5.5,2.0,3.5
134,100080,20260814,848,1,7,1,1,1,4.3,1.8,4.3,1.8,2.5
135,100080,20260814,848,1,5,1,1,1,4.8,2.0,4.8,2.0,2.8
136,100081,20260321,1909,5,15,1,2,1,11.0,4.0,11.0,4.0,7.0
137,100082,20260514,1926,4,14,1,1,1,13.5,4.6,13.5,4.6,8.9
138,100083,20260718,826,5,21,1,1,1,9.0,3.2,9.0,3.2,5.8
139,100083,20260718,826,5,18,1,1,2,5.0,1.8,10.0,3.6,6.4
140,100084,20260723,1842,4,6,2,3,1,5.0,2.1,5.0,2.1,2.9
141,100084,20260723,1842,4,1,2,3,1,3.5,1.4,3.5,1.4,2.1
142,100085,20260501,925,1,1,2,1,1,3.5,1.4,3.5,1.4,2.1
143,100086,20260816,1159,1,21,2,2,1,9.0,3.2,9.0,3.2,5.8
144,100087,20260630,1100,4,23,3,1,1,9.0,3.4,9.0,3.4,5.6
145,100087,20260630,1100,4,9,3,1,1,9.0,3.4,9.0,3.4,5.6
146,100087,20260630,1100,4,8,3,1,1,8.5,3.2,8.5,3.2,5.3
147,100088,20260413,1335,6,21,3,1,1,9.0,3.2,9.0,3.2,5.8
148,100088,20260413,1335,6,15,3,1,1,11.0,4.0,11.0,4.0,7.0
